Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.97104e-05,0.08,0.02
-4.97094e-05,0.08,0.02
-4.97084e-05,0.08,0.02
-4.97074e-05,0.08,0.02
-4.97064e-05,0.04,0.02
-4.97054e-05,0.08,0.02
-4.97044e-05,0.04,0.02
-4.97034e-05,0.04,0.02
-4.97024e-05,0.04,0.02
-4.97014e-05,0.04,0.02
-4.97004e-05,0.08,0.02
-4.96994e-05,0.08,0.02
-4.96984e-05,0.08,0.06
-4.96974e-05,0.08,0.02
-4.96964e-05,0.08,0.02
-4.96954e-05,0.08,0.02
-4.96944e-05,0.08,-0.02
-4.96934e-05,0.04,0.02
-4.96924e-05,0.04,0.02
-4.96914e-05,0.08,0.02
-4.96904e-05,0.08,0.02
-4.96894e-05,0.08,0.02
-4.96884e-05,0.08,0.06
-4.96874e-05,0.08,0.06
-4.96864e-05,0.08,0.06
-4.96854e-05,0.08,0.02
-4.96844e-05,0.04,0.02
-4.96834e-05,0.04,0.02
-4.96824e-05,0.04,0.02
-4.96814e-05,0.08,0.02
-4.96804e-05,0.08,0.02
-4.96794e-05,0.08,0.02
-4.96784e-05,0.04,0.06
-4.96774e-05,0.08,0.06
-4.96764e-05,0.08,0.06
-4.96754e-05,0.08,0.06
-4.96744e-05,0.04,0.02
-4.96734e-05,0.04,0.02
-4.96724e-05,0.04,-0.02
-4.96714e-05,0.04,-0.02
-4.96704e-05,0.04,0.02
-4.96694e-05,0.08,0.06
-4.96684e-05,0.08,0.06
-4.96674e-05,0.08,0.06
-4.96664e-05,0.04,0.02
-4.96654e-05,0.08,0.02
-4.96644e-05,0.04,0.02
-4.96634e-05,0.04,0.02
-4.96624e-05,0.04,0.02
-4.96614e-05,0.04,0.02
-4.96604e-05,0.04,0.02
-4.96594e-05,0.08,0.06
-4.96584e-05,0.08,0.06
-4.96574e-05,0.08,0.06
-4.96564e-05,0.04,0.06
-4.96554e-05,0.04,0.06
-4.96544e-05,0.04,-0.02
-4.96534e-05,0.04,0.02
-4.96524e-05,0.04,-0.02
-4.96514e-05,0.04,0.02
-4.96504e-05,0.08,0.02
-4.96494e-05,0.08,0.06
-4.96484e-05,0.12,0.1
-4.96474e-05,0.12,0.06
-4.96464e-05,0.08,0.06
-4.96454e-05,0.08,0.02
-4.96444e-05,0.04,0.02
-4.96434e-05,0.04,0.02
-4.96424e-05,0.04,0.02
-4.96414e-05,0.08,0.02
-4.96404e-05,0.08,0.02
-4.96394e-05,0.08,0.06
-4.96384e-05,0.08,0.06
-4.96374e-05,0.08,0.06
-4.96364e-05,0.04,0.02
-4.96354e-05,0.04,0.02
-4.96344e-05,0.04,0.02
-4.96334e-05,0.04,0.02
-4.96324e-05,0.04,0.02
