Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.97288e-05,0.08,0.02
-4.97278e-05,0.08,0.06
-4.97268e-05,0.08,0.06
-4.97258e-05,0.08,0.06
-4.97248e-05,0.04,0.06
-4.97238e-05,0.04,0.06
-4.97228e-05,0.04,0.02
-4.97218e-05,0.04,0.02
-4.97208e-05,0.08,0.02
-4.97198e-05,0.08,0.02
-4.97188e-05,0.12,0.02
-4.97178e-05,0.08,0.02
-4.97168e-05,0.08,0.06
-4.97158e-05,0.08,0.06
-4.97148e-05,0.04,0.06
-4.97138e-05,0.04,0.06
-4.97128e-05,0.04,0.06
-4.97118e-05,0.04,0.02
-4.97108e-05,0.04,0.02
-4.97098e-05,0.08,0.06
-4.97088e-05,0.12,0.02
-4.97078e-05,0.12,0.06
-4.97068e-05,0.08,0.06
-4.97058e-05,0.08,0.06
-4.97048e-05,0.04,0.06
-4.97038e-05,0.04,0.02
-4.97028e-05,0,0.02
-4.97018e-05,0,0.02
-4.97008e-05,0.04,-0.02
-4.96998e-05,0.08,0.02
-4.96988e-05,0.08,0.02
-4.96978e-05,0.08,0.02
-4.96968e-05,0.08,0.02
-4.96958e-05,0.08,0.06
-4.96948e-05,0.04,0.02
-4.96938e-05,0,0.02
-4.96928e-05,0,0.02
-4.96918e-05,0.04,0.02
-4.96908e-05,0.04,0.02
-4.96898e-05,0.08,0.02
-4.96888e-05,0.08,0.06
-4.96878e-05,0.08,0.02
-4.96868e-05,0.04,0.02
-4.96858e-05,0.04,0.02
-4.96848e-05,0.04,0.02
-4.96838e-05,0.04,0.02
-4.96828e-05,0.04,0.02
-4.96818e-05,0.04,0.02
-4.96808e-05,0.08,0.06
-4.96798e-05,0.08,0.06
-4.96788e-05,0.04,0.06
-4.96778e-05,0.08,0.06
-4.96768e-05,0.04,0.06
-4.96758e-05,0.04,0.02
-4.96748e-05,0.04,0.02
-4.96738e-05,0.04,0.02
-4.96728e-05,0.08,0.02
-4.96718e-05,0.08,0.02
-4.96708e-05,0.08,0.06
-4.96698e-05,0.08,0.06
-4.96688e-05,0.04,0.06
-4.96678e-05,0.04,0.02
-4.96668e-05,0,0.02
-4.96658e-05,0.04,-0.02
-4.96648e-05,0.04,0.02
-4.96638e-05,0.08,0.02
-4.96628e-05,0.08,0.06
-4.96618e-05,0.12,0.06
-4.96608e-05,0.12,0.1
-4.96598e-05,0.08,0.06
-4.96588e-05,0.04,0.06
-4.96578e-05,0,0.06
-4.96568e-05,0,0.02
-4.96558e-05,0,-0.02
-4.96548e-05,0,-0.02
-4.96538e-05,0.08,-0.02
-4.96528e-05,0.12,0.02
-4.96518e-05,0.12,0.06
-4.96508e-05,0.12,0.1
-4.96498e-05,0.12,0.06
-4.96488e-05,0.04,0.06
-4.96478e-05,0,0.06
-4.96468e-05,-0.04,0.02
-4.96458e-05,-0.04,0.02
-4.96448e-05,0,-0.02
-4.96438e-05,0.04,0.02
-4.96428e-05,0.08,0.02
-4.96418e-05,0.12,0.06
-4.96408e-05,0.12,0.1
-4.96398e-05,0.08,0.06
-4.96388e-05,0.04,0.1
-4.96378e-05,0,0.06
-4.96368e-05,0,0.02
-4.96358e-05,0,-0.02
-4.96348e-05,0.04,-0.02
-4.96338e-05,0.08,-0.02
-4.96328e-05,0.12,0.02
-4.96318e-05,0.16,0.06
-4.96308e-05,0.12,0.1
-4.96298e-05,0.08,0.1
-4.96288e-05,0.08,0.1
-4.96278e-05,0,0.06
-4.96268e-05,0,0.02
-4.96258e-05,0,0.02
-4.96248e-05,0,-0.02
-4.96238e-05,0.08,0.02
-4.96228e-05,0.08,0.02
-4.96218e-05,0.12,0.02
-4.96208e-05,0.12,0.06
-4.96198e-05,0.08,0.06
-4.96188e-05,0.04,0.06
-4.96178e-05,0.04,0.02
-4.96168e-05,0,0.02
-4.96158e-05,0.04,0.02
-4.96148e-05,0.04,0.02
-4.96138e-05,0.04,0.02
-4.96128e-05,0.08,0.02
-4.96118e-05,0.08,0.02
-4.96108e-05,0.08,0.06
-4.96098e-05,0.08,0.02
-4.96088e-05,0.08,0.06
-4.96078e-05,0.08,0.02
-4.96068e-05,0.04,0.02
-4.96058e-05,0.08,0.06
-4.96048e-05,0.04,0.06
-4.96038e-05,0.08,0.06
-4.96028e-05,0.04,0.06
-4.96018e-05,0.08,0.02
-4.96008e-05,0.04,0.06
-4.95998e-05,0.08,0.06
-4.95988e-05,0.08,0.02
-4.95978e-05,0.08,0.02
-4.95968e-05,0.08,0.02
-4.95958e-05,0.08,0.02
-4.95948e-05,0.08,0.02
-4.95938e-05,0.08,0.02
-4.95928e-05,0.04,0.02
-4.95918e-05,0.04,0.02
-4.95908e-05,0.04,0.02
-4.95898e-05,0.04,0.02
-4.95888e-05,0.04,0.02
-4.95878e-05,0.08,0.02
-4.95868e-05,0.08,0.02
-4.95858e-05,0.12,0.02
-4.95848e-05,0.08,0.06
-4.95838e-05,0.08,0.06
-4.95828e-05,0.04,0.06
-4.95818e-05,0.04,0.02
-4.95808e-05,0.04,0.02
-4.95798e-05,0.04,0.02
-4.95788e-05,0.08,0.02
-4.95778e-05,0.08,0.02
-4.95768e-05,0.08,0.06
-4.95758e-05,0.08,0.06
-4.95748e-05,0.08,0.06
-4.95738e-05,0.08,0.06
-4.95728e-05,0.04,0.02
-4.95718e-05,0.04,0.02
-4.95708e-05,0.04,0.02
-4.95698e-05,0.04,0.02
-4.95688e-05,0.08,0.02
-4.95678e-05,0.08,0.02
-4.95668e-05,0.08,0.02
-4.95658e-05,0.08,0.02
-4.95648e-05,0.08,0.06
-4.95638e-05,0.08,0.06
-4.95628e-05,0.04,0.06
-4.95618e-05,0.08,0.06
-4.95608e-05,0.04,0.02
