Model,DPO2012
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,1e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,PPS board#1,PPS board#2
TIME,CH1,CH2
-4.95866e-05,0.04,0.02
-4.95856e-05,0.04,0.02
-4.95846e-05,0.04,0.06
-4.95836e-05,0.04,0.02
-4.95826e-05,0.08,0.06
-4.95816e-05,0.08,0.02
-4.95806e-05,0.08,0.06
-4.95796e-05,0.08,0.02
-4.95786e-05,0.08,0.06
-4.95776e-05,0.04,0.02
-4.95766e-05,0.04,0.06
-4.95756e-05,0.04,0.02
-4.95746e-05,0.04,0.06
-4.95736e-05,0.04,0.02
-4.95726e-05,0.08,0.06
-4.95716e-05,0.08,0.06
-4.95706e-05,0.08,0.06
-4.95696e-05,0.08,0.06
-4.95686e-05,0.08,0.06
-4.95676e-05,0.08,0.02
-4.95666e-05,0.08,0.02
-4.95656e-05,0.04,0.02
-4.95646e-05,0.04,0.06
-4.95636e-05,0.04,0.02
-4.95626e-05,0.04,0.02
-4.95616e-05,0.04,0.02
-4.95606e-05,0.08,0.06
-4.95596e-05,0.08,0.06
-4.95586e-05,0.08,0.06
-4.95576e-05,0.08,0.06
-4.95566e-05,0.08,0.06
-4.95556e-05,0.08,0.02
-4.95546e-05,0.04,0.02
-4.95536e-05,0.04,0.02
-4.95526e-05,0.04,0.02
-4.95516e-05,0.04,0.02
-4.95506e-05,0.04,0.02
-4.95496e-05,0.04,0.02
-4.95486e-05,0.08,0.06
-4.95476e-05,0.04,0.02
-4.95466e-05,0.08,0.06
-4.95456e-05,0.08,0.02
-4.95446e-05,0.08,0.02
-4.95436e-05,0.04,0.02
-4.95426e-05,0.04,0.02
-4.95416e-05,0.04,0.02
-4.95406e-05,0.04,0.02
-4.95396e-05,0.04,0.02
-4.95386e-05,0.04,0.06
-4.95376e-05,0.08,0.06
-4.95366e-05,0.08,0.06
-4.95356e-05,0.08,0.06
-4.95346e-05,0.04,0.06
-4.95336e-05,0.04,0.02
-4.95326e-05,0.04,0.02
-4.95316e-05,0.04,-0.02
-4.95306e-05,0,0.02
-4.95296e-05,0.04,0.02
-4.95286e-05,0.04,0.06
-4.95276e-05,0.08,0.06
-4.95266e-05,0.08,0.1
-4.95256e-05,0.08,0.06
-4.95246e-05,0.08,0.06
-4.95236e-05,0.08,0.02
-4.95226e-05,0.04,0.02
-4.95216e-05,0.04,-0.02
-4.95206e-05,0,0.02
-4.95196e-05,0.04,0.02
-4.95186e-05,0.04,0.1
-4.95176e-05,0.08,0.1
-4.95166e-05,0.08,0.1
-4.95156e-05,0.08,0.06
-4.95146e-05,0.08,0.06
-4.95136e-05,0.08,-0.02
-4.95126e-05,0.04,-0.02
-4.95116e-05,0.04,-0.06
-4.95106e-05,0,-0.02
-4.95096e-05,0,-0.02
-4.95086e-05,0.04,0.06
-4.95076e-05,0.04,0.06
-4.95066e-05,0.04,0.1
-4.95056e-05,0.08,0.06
-4.95046e-05,0.08,0.06
-4.95036e-05,0.08,0.06
-4.95026e-05,0.08,0.02
-4.95016e-05,0.04,-0.02
-4.95006e-05,0.04,-0.02
-4.94996e-05,0.04,-0.02
-4.94986e-05,0,0.02
-4.94976e-05,0.04,0.06
-4.94966e-05,0.08,0.1
-4.94956e-05,0.12,0.1
-4.94946e-05,0.08,0.06
-4.94936e-05,0.08,0.06
-4.94926e-05,0.04,0.02
-4.94916e-05,0.08,0.02
-4.94906e-05,0.04,0.02
-4.94896e-05,0.08,0.02
-4.94886e-05,0.04,0.02
-4.94876e-05,0.08,0.02
-4.94866e-05,0.04,0.06
-4.94856e-05,0.08,0.06
-4.94846e-05,0.04,0.1
-4.94836e-05,0.04,0.06
-4.94826e-05,0.04,0.06
-4.94816e-05,0.04,0.02
-4.94806e-05,0.04,0.06
-4.94796e-05,0.08,0.02
-4.94786e-05,0.08,0.02
-4.94776e-05,0.08,0.02
-4.94766e-05,0.04,0.06
-4.94756e-05,0.08,0.02
-4.94746e-05,0.04,0.06
-4.94736e-05,0.04,0.02
-4.94726e-05,0.04,0.06
-4.94716e-05,0.04,0.06
-4.94706e-05,0.04,0.06
-4.94696e-05,0.08,0.06
-4.94686e-05,0.08,0.06
-4.94676e-05,0.08,0.02
-4.94666e-05,0.08,0.02
-4.94656e-05,0.08,0.02
-4.94646e-05,0.04,0.02
-4.94636e-05,0.04,0.02
-4.94626e-05,0,0.02
-4.94616e-05,0.04,0.02
-4.94606e-05,0.04,0.06
-4.94596e-05,0.08,0.06
-4.94586e-05,0.08,0.06
-4.94576e-05,0.08,0.02
-4.94566e-05,0.04,0.06
-4.94556e-05,0.04,0.02
-4.94546e-05,0.04,-0.02
-4.94536e-05,0.04,0.02
-4.94526e-05,0,0.02
-4.94516e-05,0.04,0.06
-4.94506e-05,0.04,0.1
-4.94496e-05,0.08,0.1
-4.94486e-05,0.12,0.1
-4.94476e-05,0.12,0.06
-4.94466e-05,0.12,0.02
-4.94456e-05,0.08,-0.02
-4.94446e-05,0.04,-0.02
-4.94436e-05,0.04,-0.02
-4.94426e-05,0.04,0.02
-4.94416e-05,0.04,0.06
-4.94406e-05,0.04,0.1
-4.94396e-05,0.08,0.1
-4.94386e-05,0.12,0.1
-4.94376e-05,0.12,0.06
-4.94366e-05,0.08,0.02
-4.94356e-05,0.08,-0.02
-4.94346e-05,0.04,-0.02
-4.94336e-05,0.04,-0.02
-4.94326e-05,0.04,-0.02
-4.94316e-05,0.04,0.02
-4.94306e-05,0.04,0.06
-4.94296e-05,0.04,0.1
-4.94286e-05,0.08,0.1
-4.94276e-05,0.08,0.06
-4.94266e-05,0.08,0.02
-4.94256e-05,0.08,-0.02
-4.94246e-05,0.04,-0.02
-4.94236e-05,0.04,-0.02
-4.94226e-05,0.04,0.02
-4.94216e-05,0.04,0.02
-4.94206e-05,0.08,0.06
-4.94196e-05,0.04,0.06
-4.94186e-05,0.04,0.06
-4.94176e-05,0.08,0.02
-4.94166e-05,0.08,0.02
-4.94156e-05,0.08,0.02
-4.94146e-05,0.04,0.02
-4.94136e-05,0.04,0.02
-4.94126e-05,0.04,0.02
-4.94116e-05,0.08,0.02
-4.94106e-05,0.08,0.06
-4.94096e-05,0.08,0.06
-4.94086e-05,0.08,0.06
-4.94076e-05,0.08,0.02
-4.94066e-05,0.04,0.02
-4.94056e-05,0.04,0.02
-4.94046e-05,0.04,0.02
-4.94036e-05,0.08,0.02
-4.94026e-05,0.08,0.02
-4.94016e-05,0.08,0.02
-4.94006e-05,0.08,0.02
-4.93996e-05,0.08,0.02
-4.93986e-05,0.04,0.02
-4.93976e-05,0.04,0.02
-4.93966e-05,0.04,0.02
-4.93956e-05,0.04,0.02
-4.93946e-05,0.04,0.02
-4.93936e-05,0.08,0.02
-4.93926e-05,0.08,0.06
-4.93916e-05,0.08,0.02
-4.93906e-05,0.08,0.06
-4.93896e-05,0.08,0.02
-4.93886e-05,0.08,0.02
-4.93876e-05,0.04,-0.02
-4.93866e-05,0.04,0.02
-4.93856e-05,0.04,0.02
-4.93846e-05,0.04,0.02
-4.93836e-05,0.04,0.02
-4.93826e-05,0.08,0.06
-4.93816e-05,0.08,0.06
-4.93806e-05,0.08,0.06
-4.93796e-05,0.08,0.02
-4.93786e-05,0.08,0.02
-4.93776e-05,0.04,0.02
-4.93766e-05,0.04,0.06
-4.93756e-05,0.04,0.02
-4.93746e-05,0.04,0.02
-4.93736e-05,0.04,0.02
-4.93726e-05,0.04,0.06
-4.93716e-05,0.08,0.06
-4.93706e-05,0.08,0.06
-4.93696e-05,0.08,0.06
-4.93686e-05,0.08,0.06
-4.93676e-05,0.08,0.02
-4.93666e-05,0.04,0.02
-4.93656e-05,0.04,0.02
-4.93646e-05,0.04,0.02
-4.93636e-05,0.04,0.02
-4.93626e-05,0.04,0.02
-4.93616e-05,0.04,0.06
-4.93606e-05,0.04,0.06
-4.93596e-05,0.08,0.06
-4.93586e-05,0.08,0.06
-4.93576e-05,0.08,0.06
-4.93566e-05,0.04,0.06
-4.93556e-05,0.04,0.02
-4.93546e-05,0.04,0.06
-4.93536e-05,0.04,0.02
-4.93526e-05,0.04,0.02
-4.93516e-05,0.04,0.02
-4.93506e-05,0.04,0.02
-4.93496e-05,0.08,0.06
-4.93486e-05,0.08,0.1
-4.93476e-05,0.08,0.06
-4.93466e-05,0.08,0.06
-4.93456e-05,0.08,0.02
-4.93446e-05,0.04,0.02
-4.93436e-05,0.04,-0.02
-4.93426e-05,0.04,-0.02
-4.93416e-05,0.04,-0.02
-4.93406e-05,0.04,0.02
-4.93396e-05,0.04,0.02
-4.93386e-05,0.08,0.1
-4.93376e-05,0.12,0.1
-4.93366e-05,0.12,0.1
-4.93356e-05,0.12,0.06
-4.93346e-05,0.08,0.02
-4.93336e-05,0.08,-0.06
-4.93326e-05,0.04,-0.02
-4.93316e-05,0.04,-0.02
-4.93306e-05,0.04,0.02
-4.93296e-05,0.04,0.02
-4.93286e-05,0.04,0.06
-4.93276e-05,0.08,0.1
-4.93266e-05,0.08,0.1
-4.93256e-05,0.08,0.06
-4.93246e-05,0.08,0.02
-4.93236e-05,0.08,0.02
-4.93226e-05,0,-0.02
-4.93216e-05,0,-0.02
-4.93206e-05,0,0.02
-4.93196e-05,0,0.02
-4.93186e-05,0.04,0.1
-4.93176e-05,0.08,0.06
-4.93166e-05,0.08,0.1
-4.93156e-05,0.08,0.06
-4.93146e-05,0.08,0.06
-4.93136e-05,0.08,0.02
-4.93126e-05,0.04,-0.02
-4.93116e-05,0.04,-0.02
-4.93106e-05,0.04,-0.02
-4.93096e-05,0.04,0.02
-4.93086e-05,0.04,0.06
-4.93076e-05,0.04,0.06
-4.93066e-05,0.08,0.06
-4.93056e-05,0.08,0.06
-4.93046e-05,0.08,0.06
-4.93036e-05,0.08,0.06
-4.93026e-05,0.08,0.02
-4.93016e-05,0.04,0.02
-4.93006e-05,0.04,0.02
-4.92996e-05,0.04,0.02
-4.92986e-05,0.04,0.02
-4.92976e-05,0.04,0.02
-4.92966e-05,0.04,0.02
-4.92956e-05,0.04,0.02
-4.92946e-05,0.04,0.06
-4.92936e-05,0.04,0.02
-4.92926e-05,0.04,0.06
-4.92916e-05,0.08,0.06
-4.92906e-05,0.08,0.06
-4.92896e-05,0.08,0.02
-4.92886e-05,0.04,0.02
-4.92876e-05,0.04,0.02
